[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr
stat_base_damage|Attack Damage||Dano de Ataque|Урон от атаки|||공격력||Dégât d'attaque
stat_defense|Defense|Puolustus|Defesa|Защита|防御|防御力|방어력|Verteidigung|Défense
stat_defense_p|Increased Defense|Lisäpuolustus|Aumento de Defesa|Повышенная защита|增加防御|防御力増加|방어력 증가|Erhöhte Verteidigung|Défense accrue
stat_block_chance|Block Chance|Torjumistodennäköisyys|Chance de Bloqueio|Шанс блока|格挡几率|ブロックの確率|방어 확률|Blockchance|Chance de bloquer
stat_all_skills|to All Skills|kaikkiin taitoihin|para Todas as Habilidades|ко всем навыкам|对所有技能|全てのスキルに対して|모든 스킬에 대해|auf alle Fertigkeiten|à toutes les compétences
stat_increased_speed|Increased Movement Speed|Lisäliikkumisnopeus|Aumento de Velocidade de Movimento|Увеличение скорости движения|增加移动速度|移動速度増加|이동 속도 증가|Erhöhte Bewegungsgeschwindigkeit|à la vitesse de marche/course 
stat_summon_movement_speed|Increased Summon Movement Speed|Lisääntynyt kutsuliikkeen nopeus|Aumento da Velocidade de Movimento de Invocações|Увеличенная скорость движения призыва |增加召唤物移动速度 |召喚移動速度の向上 |소환 이동 속도 증가 |Erhöhte Beschwörungsbewegungsgeschwindigkeit |Augmentation de la vitesse de déplacement d'invocation 
stat_faster_cast_rate|Faster Cast Rate|Nopeampi lähetysnopeus|Taxa de Conjuração Mais Rápida|Скорость каста|释放速度更快|キャスト速度増加|시전 속도 증가|Schnellere Wirkungsgeschwindigkeit|à la vitesse des sorts
stat_attack_speed_p|Increased Attack Speed|Lisääntynyt hyökkäysnopeus|Aumento de Velocidade de Ataque|Увеличение скорости атаки|增加攻击速度|攻撃速度増加|공격 속도 증가|Erhöhte Angriffsgeschwindigkeit|à la vitesse d'attaque
stat_attack_speed_t|Total Attack Speed Reduced by|Kokonaishyökkäysnopeus alennettu|Velocidade de Ataque Total Reduzida em|Общая скорость атаки снижена на |总攻击速度降低 |総攻撃速度が減少 |총 공격 속도 감소 |Gesamtangriffsgeschwindigkeit reduziert um |Vitesse d'attaque totale réduite de 
stat_summon_attack_speed|Increased Summon Attack Speed|Lisääntynyt kutsuhyökkäysnopeus|Aumento de Velocidade de Ataque de Invocações|Увеличенная скорость атаки призыва |增加召唤攻击速度 |召喚攻撃速度の向上 |소환 공격 속도 증가 |Erhöhte Beschwörungsangriffsgeschwindigkeit|Augmentation de la vitesse d'attaque d'invocation 
stat_summon_skills|to Summon Skills|kutsua taitoja|para Habilidades de Invocação|для вызова навыков |召唤技能 |召喚スキル |스킬을 소환하다 |um Fähigkeiten zu beschwören|pour invoquer des compétences 
stat_summon_damage|Summon Damage Increased by|Summon Damage lisääntynyt|Dano de Invocação Aumentado em|Урон от призыва увеличен на |召唤伤害增加 |召喚ダメージが増加 |소환 데미지 증가 |Beschwörungsschaden erhöht um |Dégâts d'invocation augmentés de 
stat_projectileSpeed|to Projectile Speed|ammuksen nopeuteen|para Velocidade de Projétil|к скорости снаряда |至弹丸速度 |発射速度へ |발사체 속도에 |zur Projektilgeschwindigkeit |à la vitesse du projectile 
stat_attack_range|Attack Range Increased by|Hyökkäysetäisyys kasvanut|Alcance de Ataque Aumentado em|Дальность атаки увеличена на |攻击范围增加 |攻撃範囲が増加 |공격 범위가 증가했습니다. |Angriffsreichweite erhöht um |Portée d'attaque augmentée de 
stat_cooldown_reduction|Cooldown Recovery Increased by|Jäähdytyksen palautuminen lisääntynyt|Recuperação do Tempo de Recarga aumentada em|Восстановление после перезарядки увеличено на |冷却恢复增加 |クールダウン回復が増加 |쿨다운 회복량 증가 |Abklingzeit-Erholung erhöht um |Récupération du temps de recharge augmentée de 
stat_cooldown_reduction_belt|Flask Cooldown Recovery Increased by|Kolvin jäähdytyspalautus lisääntynyt|Recuperação do Tempo de Recarga da Poção aumentado em|Восстановление кулдауна колбы увеличено на |药剂冷却恢复增加 |フラスコのクールダウン回復が |플라스크 쿨다운 회복량 증가 |Fläschchen-Abkühlungserholung erhöht um |Récupération du temps de recharge du flacon augmentée de 
stat_to|to|to|para | к|对 |に対して |에 대해 |auf |à 
stat_double_jump|Double Jump|Kaksoishyppy|Pulo Duplo|Двойной прыжок|二段跳 |ダブルジャンプ |더블 점프 |Doppelsprung |Double saut
stat_skill_damage|Magic Skill Damage increased by|Magic Skill Damage kasvoi|Dano de Habilidade aumentado em|Урон от магических навыков увеличен на|技能伤害增加|スキルダメージ増加|스킬 데미지 증가|Fertigkeitsschaden erhöht um|Dégâts compétences magiques augmentés de 
stat_explosion_aoe|Explosion area of effect increased by|Räjähdysalueen vaikutusalue kasvoi|Explosão de Área de Efeito aumentada em|Область действия взрыва увеличена на|爆炸范围增加|爆発範囲拡大|폭발 범위 증가|Explosionsradius erhöht um|Taille de la zone d'effet augmentée de 
stat_block_rating|Increased Chance of Blocking|Lisääntynyt eston mahdollisuus|Aumento da Chance de Bloqueio|Повышенная вероятность блокировки|增加格挡几率|ブロックの確率増加|블록 확률 증가|Erhöhte Chance zu Blocken|de chance de bloquer
stat_enhanced_damage|Enhanced Damage|Tehostettu vahinko|Dano Aprimorado|Повышенный урон|增强伤害|ダメージ増加|증강된 데미지|Verstärkter Schaden|de dégâts
stat_enhanced_defense|Enhanced Defense|Tehostettu puolustus|Defesa Aprimorada|Улучшенная защита|增强防御|防御力増加|증강된 방어력|Verstärkte Verteidigung|de défense
stat_critical_rate|Increased Critical Strike Chance|Lisääntynyt kriittisen iskun mahdollisuus|Aumento da Chance de Acerto Crítico|Повышенный шанс критического удара|增加暴击几率 |クリティカルヒット確率の増加 |치명타 확률 증가 |Erhöhte Chance auf kritische Treffer |de chance de faire un coup critique
stat_deadly_blow|Chance for a Deadly Blow|Mahdollisuus tappavaan iskuun|Chance de Golpe Fatal|Шанс на смертельный удар|致命一击几率|致命的な一撃のチャンス|치명적인 타격 확률|Chance auf einen tödlichen Schlag|de chance de faire un coup mortel
stat_crushing_blow|Chance for a Crushing Blow|Mahdollisuus murskaavaan iskuun|Chance de Golpe Esmagador|Шанс на сокрушительный удар|压制性一击几率|打撃力増加のチャンス|크러쉬 타격 확률|Chance auf einen vernichtenden Schlag|de chance de faire un coup cinglant
stat_attack_rating_p|Increased Attack Rating|Lisääntynyt hyökkäysluokitus|Aumento da Taxa de Ataque|Повышенный рейтинг атаки|增加攻击评级|攻撃評価増加|공격 등급 증가|Erhöhte Angriffswertung|d'augmentation du niveau d'attaque
stat_attack_rating|to Attack Rating|hyökkäysluokitukseen|para Taxa de Ataque|к рейтингу атаки|对攻击评级|攻撃評価へ|공격 등급|auf Angriffswertung|au niveau d'attaque
stat_life_per_hit|Life stolen per Hit|Henki varastettu osumaa kohti|Vida roubada por Golpe|Кража жизни за удар|每击生命偷取|ヒットごとに吸収されるライフ|공격 당 생명력 흡수|Leben pro Treffer gestohlen|de vie volée par coup
stat_mana_per_hit|Mana stolen per Hit|Mana varastettu hittiä kohden|Mana roubada por Golpe|Кража маны за удар|每击法力偷取|ヒットごとに吸収されるマナ|공격 당 마나 흡수|Mana pro Treffer gestohlen|de mana volé par coup
stat_life_per_second|Life per second|Elämä sekunnissa|Vida por segundo|Жизнь в секунду |每秒生命 |1秒あたりの寿命 |초당 수명 |Leben pro Sekunde |Vie par seconde 
stat_mana_per_second|Mana per second|Mana sekunnissa|Mana por segundo|Мана в секунду |每秒法力 |1秒あたりのマナ |초당 마나 |Mana pro Sekunde |Mana par seconde 
stat_critical_damage|Increased Critical Strike Damage|Lisääntynyt kriittisten iskujen vahinko|Aumento do Dano de Acerto Crítico|Увеличение урона от критического удара|增加暴击伤害|クリティカルストライクダメージ増加|치명타 데미지 증가|Erhöhter kritischer Trefferschaden|de dégâts critique
stat_target_defense|of target Defense ignored|kohteen puolustus huomioimatta|da Defesa do alvo ignorada|игнорирования защиты цели|忽略目标防御|対象の防御力を無視|대상 방어력 무시|von Zielverteidigung ignoriert|de la défense de la cible ignorée
stat_open_wounds|Chance to Open Wounds|Mahdollisuus avata haavat|Chance de Abrir Feridas|Шанс открыть раны|开裂几率|ウーンドを開くチャンス|출혈 확률|Chance auf Wunden|de chance de blessures ouvertes
stat_piercing|Piercing Attack|Lävistyshyökkäys|Ataque Perfurante|Пронзающая атака|穿透攻击|貫通攻撃|관통 공격|Durchdringender Angriff|Attaque perçante
