[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr
e_rat_1|Rat Champion|Rottamestari|Rato Campeão|Крысиный Чемпион|鼠王|ラット・チャンピオン|챔피언 쥐|Ratten-Champion|Rat champion
e_rat_2|Plague Rat|Tautinen rotta|Rato da Peste|Чумная Крыса|瘟疫鼠|プレイグ・ラット|역병 쥐|Pest-Ratte|Rat de la peste
e_rat_3|Freak of Nature|Luonnonoikku|Aberração da Natureza|Причуда природы|大自然的怪胎|造化の戯れ|돌연변이 쥐|Natur-Freak|Erreur de la nature
|||||||||
|||||||||
e_spider_1|Arachnid|Arachnid|Aracnídeo|Паукообразный|蜘蛛|蛛系魔|거미|Spinnentier|Arachnide
e_spider_2|Broodmother|Parviemo|Mãe da Ninhada|Праматерь|育母蜘蛛|蛛系魔の母|거미 여왕|Brutmutter|Couveuse
e_spider_3|Theraphosidae|Theraphosidae|Theraphosidae|Терафозиды|捕鸟蛛|大型の熱帯グモ|타란툴라|Theraphosidae|Theraphosidae
|||||||||
e_cave_spider_1|Cave Spider||Aranha da Caverna|Пещерный Паук|||동굴 거미||Araignée des cavernes
e_cave_spider_2|Venomous Skitter||Escorregadio Venenoso|Ядовитый Скитер|||독성 스키터||Venimeux
e_cave_spider_3|Toxic Lurker||Espreitador Venenoso|Ядовитый Подстерегающий|||독성 잠복자||Rôdeur toxique
|||||||||
e_skeleton_1|Bone Champion|Luumestari|Campeão dos Ossos|Костяной Чемпион|骷髅王|ボーン・チャンピオン|챔피언 해골|Knochen-Champion|Os champion
e_skeleton_2|Skeletal Ancestor|Muinainen luuranko|Ancestral Esquelético|Скелетообразный Предок|骷髅祖先|骨格の先祖|조상의 유골|Skelett-Ahne|Ancêtre squelettique
e_skeleton_3|Risen God|Noussut jumala|Deus Ressuscitado|Воскресший Бог|复活骷髅王|リズンゴッド|되살아난 시체|Auferstandener Gott|Dieu ressuscité
|||||||||
|||||||||
e_skeleton_archer_1|Fallen Marksman|Kaatunut jousiampuja|Atirador Caído|Павший Стрелок|堕落的射手|フォールンマークマン|전사한 사수|Gefallener Scharfschütze|Tireur d'élite déchu
e_skeleton_archer_2|Undead Sharpshooter|Epäkuollut tarkka-ampuja|Atirador de Elite Morto-Vivo|Снайпер - Нежить|亡灵射手|アンデッド・シャープシューター|언데드 명사수|Untoter Scharfschütze|Tireur d'élite mort-vivant
e_skeleton_archer_3|Rotten Archer|Mätä jousimies|Arqueiro Apodrecido|Никудышный Лучник|腐化射手|ロッテン・アーチャー|부패한 궁수|Faulender Bogenschütze|Archer pourri
|||||||||
|||||||||
e_skeleton_mage_1|Skeletal Archmage|Luuranko arkkimaagi|Arquimago Esquelético|Архимаг - Скелет|骷髅法师|骨格のアークマージ|해골 대마법사|Skeletaler Erzmagier|Archi-mage squelettique
e_skeleton_mage_2|Unholy Priest|Epäpyhä pappi|Sacerdote Profano|Нечестивый Священник|邪恶祭司|不浄な司祭|불결한 사제|Unheiliger Priester|Prêtre impie
e_skeleton_mage_3|Satanic Pagan|Saatanallinen pakana|Pagão Satânico|Сатанинский Язычник|撒旦异教徒|魔王の異教徒|사탄의 이교도|Satanischer Heide|Païen satanique
|||||||||
|||||||||
e_skeleton_mage_fire_1|Burning Mage|Palava Maagi|Mago Ardente|Пылающий Маг|燃烧法师|燃える魔道士|불타는 마법사|Brennender Magier|Mage fumant
e_skeleton_mage_fire_2|Flame Wizard|Liekin Velho|Feiticeiro de Chamas|Волшебник Пламени|火焰精灵|フレイムウィザード|화염 마법사|Flammenassistent|Mage de flammes
e_skeleton_mage_fire_3|Infernal Mystic|Helvetin Mystikko|Místico Infernal|Адский Мистик|地狱的神秘主义者|地獄の神秘家|지옥 불 신비 주의자|Höllenmystiker|Mystique infernal
|||||||||
|||||||||
e_skeleton_mage_frost_1|Frost Mage|Jää Maagi|Mago de Gelo|Ледяной Маг|冰霜法师|フロストメイジ|서리 마법사|Frostmagier|Mage givré
e_skeleton_mage_frost_2|Chilling Occultist|Jäätynyt Okkultisti|Ocultista Arrepiante|Леденящий Душу Оккультист|寒冷的神秘学家|身も凍るオカルティスト|오싹한 오컬 티스트|Chillender Okkultist|Occultiste glaçant
e_skeleton_mage_frost_3|Permafrozen Pagan|Syväjäätynyt Pakana|Pagão Gélido|Вечнозамороженный Язычник|永久冻土异教徒|永久凍土異教|영구 동결 이교도|Permafrozen Heidnisch|Païen permagelé
|||||||||
|||||||||
e_skeleton_mage_lightning_1|Lightning Mage|Salama Maagi|Mago Elétrico|Маг Молнии|闪电法师|ライトニングメイジ|번개 마법사|Blitzmagier|Mage survolté
