[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr
normal_melee_hand_axe|Hand Axe||Machado de Mão|Ручной Топор|||손도끼||Hache
normal_melee_hatchet|Hatchet||Machadinha|Топор|||손도끼||Hachette
normal_melee_naga|Naga||Naga|Нага|||||Naga
normal_melee_broad_axe|Broad Axe||Machada|Широкий Топор|||넓은 도끼||Hache large
normal_melee_war_axe|War Axe||Machado de Guerra|Боевой Топор|||전쟁 도끼||Hache de guerre
normal_melee_giant_axe|Giant Axe||Machado Gigante|Гигантский Топор|||거대한 도끼||Hache géante
|||||||||
[Normal Maces]|||||||||
normal_mace_cudgel|Cudgel||Porrete|Дубинка|||곤봉||Gourdin
normal_mace_mace|Mace||Maça|Булава|||철퇴||Masse
normal_mace_morning_star|Morning Star||Chicote de Armas|Утренняя Звезда|||새벽별||Étoile du matin
normal_mace_spiked_club|Spiked Club||Clava Espinhosa|Шипастая Дубинка|||가시 몽둥이||Massue à pointes
normal_mace_war_hammer|War Hammer||Martelo de Guerra|Боевой Молот|||전투 망치||Marteau de guerre
normal_mace_maul|Maul||Malho|Молот|||||Maul
normal_mace_ogre_maul|Ogre Maul||Malho Ogro|Молот Огра|||오우거 망치||Maul d'ogre
normal_mace_martel_de_fer|Martel De Fer||Martel de Fer|Martel De Fer|||철의 망치||Marteau de fer
normal_mace_flail|Flail||Mangual|Цеп|||철퇴||Fléau
normal_mace_devil_star|Devil Star||Chicote do Diabo|Дьявольская Звезда|||악마의 별||Étoile du diable
|||||||||
[Normal Daggers]|||||||||
normal_dagger_dagger|Dagger||Adaga |Кинжал|||단검||Poignard
normal_dagger_dirge|Dirge||Dirge|Панихида|||||Dague
normal_dagger_kris|Kris||Kris|Крис|||||Coutelas Cranté
|||||||||
[Normal Swords]|||||||||
normal_sword_short_sword|Short Sword||Espada Curta|Короткий Меч|||단검||Épée courte
normal_sword_sabre|Sabre||Sabre|Сабля|||세이버||Sabre
normal_sword_claymore|Claymore||Claymore|Клеймор|||클레이모어||Claymore
normal_sword_broad_sword|Broad Sword||Espada Larga|Широкий Меч|||브로드 소드||Épée large
normal_sword_scimitar|Scimitar||Cimitarra|Ятаган|||시미터||Cimeterre
normal_sword_giant_sword|Giant Sword||Espada Gigante|Гигантский Меч|||거대한 검||Épée géante
normal_sword_katana|Katana||Katana |Катана|||나나||Katana
normal_sword_war_sword|War Sword||Espada de Guerra|Боевой Меч|||전쟁의 검||Épée de guerre
normal_sword_falchion|Falchion||Alfange|Фальшион|||팔치온||Falchion
normal_sword_flamberge|Flamberge||Colubrina|Фламберге|||플람베르주||Flamberge
normal_sword_zangetsu|Zangetsu||Zangetsu|Зангецу|||||Zangetsu
|||||||||
[weapon_melee_unique]|||||||||
w_melee_godfather|Godfather|Kummisetä|Padrinho|Крестный отец|教父|ゴッドファーザー|대부|Gevatter|Parrain
w_melee_jade_warriors_gladius|Jade Warrior's Gladius|Jadesoturin miekka|Gládio do Guerreiro de Jade|Гладиус Нефритового Воина|翡翠战士的短剑|翡翠戦士のグラディウス|전사 제이드의 글래디우스|Gladius des Jadekriegers|Glaive du guerrier de jade
w_melee_storm_katana|Storm Katana|Myrskykatana|Katana na Tempestade|Штормовая Катана|风暴武士刀|嵐のカタナ|스톰 카타나|Sturmkatana|Katana de tempête
w_melee_molten_sword|Molten Sword|Sula miekka|Espada Derretida|Расплавленный Меч|炽热剑|溶岩の剣|용해 된 검|Geschmolzenes Schwert|Épée en fusion
w_melee_hellslayer|Inferno Slayer||Matadora do Inferno|Истребительница Ада|||지옥 학살자||Tueur de l'enfer
