[npc]|en|fi|pt|ru|zh|ja|ko|de|fr
|||||||||
wooden_sign|Wooden Sign||Placa de Madeira||||나무 표지판||
|||||||||
tutorial_0001|You can open the Stat & Skill screen by pressing ”[input_talents]” to assign Attribute and Skill Points. You also have 12 additional skill binds on top of the left and right click. [tutorial_bind_skill] You can also change these binds from the options! Good luck hero!||"Você pode abrir a tela de Atributos & Habilidades pressionando ""T"" para atribuir pontos de atributo e habilidade. Você também tem 12 habilidades adicionais vinculadas além do clique esquerdo e direito. Para vincular uma habilidade, clique no espaço de habilidade do botão direito, passe o mouse sobre a habilidade que deseja vincular e pressione Q/E/R/Y/H/U para vincular a habilidade ao botão escolhido. Você também pode alterar essas vinculações nas opções! Boa sorte, herói!"||||스탯 및 스킬 화면을 열려면 '[input_talents]' 키를 눌러 속성 및 스킬 포인트를 할당하세요. 좌클릭과 우클릭 외에도 12개의 추가 스킬 바인드가 있습니다. [tutorial_bind_skill] 옵션에서 이 바인드를 변경할 수도 있습니다! 행운을 빕니다, 영웅!||
tutorial_0001_end|You will gain 4 Attribute Points and 1 Skill Point every time you level up to level 100!||Você ganhará 4 pontos de atributo e 1 ponto de habilidade toda vez que subir de nível até o nível 100!||||레벨 100까지 레벨 업할 때마다 4 속성 포인트와 1 스킬 포인트를 획득합니다!||
tutorial_0002|I will drop you a key that you can pick up and check in your key ring inside your inventory. Then you can head north and open the golden chest by the well!||Deixarei cair uma chave que você pode pegar e colocar no chaveiro dentro do inventário. Depois, você pode ir para o norte e abrir o baú dourado perto do poço!||||내가 너에게 열쇠를 떨어뜨릴 테니, 그것을 주워서 인벤토리 안의 열쇠고리에 넣어봐. 그 다음 북쪽으로 가서 우물 옆에 있는 황금 상자를 열 수 있어!||
tutorial_0002_end|You will get various keys along your way, each having a unique purpose! Good luck!||Você receberá várias chaves ao longo do caminho, cada uma com uma finalidade exclusiva! Boa sorte!||||여러분은 길을 따라 다양한 열쇠를 얻게 될 것입니다. 각각의 열쇠는 고유한 목적을 가지고 있습니다! 행운을 빕니다!||
tutorial_0003|Let’s enable autofilling potions into your belt!||Vamos habilitar o preenchimento automático de poções em seu cinto!||||벨트에 포션을 자동으로 채우도록 설정합시다!||
tutorial_0003_end|You can now enable or disable this feature as you wish! Good luck!||Agora você pode ativar ou desativar esse recurso como quiser! Boa sorte!||||이제 이 기능을 원하는 대로 활성화하거나 비활성화할 수 있습니다! 행운을 빕니다!||
tutorial_0004|Jump by pressing ”[input_jump]”, your character will land on the location of your cursor.||"Pule pressionando ""Espaço"" e seu personagem aterrissará no local do cursor."||||점프하려면 '[input_jump]' 키를 누르세요. 캐릭터가 커서 위치에 착지합니다.||
tutorial_0004_end|Well done!||Muito bem!||||잘 했어요!||
tutorial_0005|Scorchwood is a menace to our town. The corrupted ent is located north east from here, go make some firewood out of that beast!||Madeira Chamuscada é uma ameaça à nossa cidade. O Ent corrompido está localizado a nordeste daqui, vá fazer lenha daquela fera!||||스코치우드는 우리 마을에 위협이 되고 있어요. 부패한 엔트가 여기서 북동쪽에 위치해 있으니, 그 괴물을 나무로 만들어 버리세요!||
tutorial_0005_end|Finally! Thank you stranger!||Finalmente! Obrigado, estranho!||||드디어! 고마워요, 낯선 사람!||
|||||||||
tutorial_0001_keyboard|In order to bind a skill, click on the right button skill slot, hover a skill you want to bind and press the skill button bind it.||||||스킬을 할당하려면, 오른쪽 버튼의 스킬 슬롯을 클릭하고 할당하려는 스킬에 마우스를 올린 후 스킬 버튼을 눌러 할당하세요.||
tutorial_0001_gamepad|In order to bind a skill, open the Stat & Skill screen, select Assign Skill Bind, select a skill slot you want to bind and press the skill button bind it.||||||스킬을 할당하려면, 스탯 및 스킬 화면을 열고, 스킬 할당을 선택한 후, 할당할 스킬 슬롯을 선택하고 스킬 버튼을 눌러 할당하세요.||
|||||||||
|||||||||
heimdall0|Welcome to Bifröst! Choose your destination wisely..||Bem vindo ao Bifröst! Escolha o seu destino com sabedoria..||||비프로스트에 오신 것을 환영합니다! 목적지를 신중하게 선택하세요..||
heimdall1|May the allfather be by your side!||Que o Pai Todo-Poderoso esteja ao seu lado!||||만신이 당신과 함께 하길!||
heimdall2|Heimdall sees all.||Heimdall vê tudo ||||헤임달은 모든 것을 본다.||
heimdall3|I am Heimdall. A noble servant of the allfather and the guardian of Bifröst.||Eu sou Heimdall. Um nobre servo do Pai Todo-Poderoso e o guardião de Bifröst ||||나는 헤임달이다. 전능하신 아버지의 고귀한 하인이며 비프로스트의 수호자다.||
heimdall4|From dusk till dawn may the divine light shine on you.||Do anoitecer ao amanhecer, que a luz divina brilhe sobre você ||||황혼에서 새벽까지 신성한 빛이 당신에게 비추기를.||
heimdall5|Let the allfather guide you towards your destiny.||Deixe que o Pai Todo-Poderoso o guie em direção ao seu destino ||||만신이 당신의 운명을 향해 안내해 줄 것입니다.||
|||||||||
black_market_npc_title|Shady Merchant|Hämärä kaupparatsu|Comerciante Duvidoso|Сомнительный Торговец|阴暗商人|日陰の商人|그늘진 상인|Schattiger Kaufmann|Marchand étrange
traveling_merchant|Traveling Merchant||Comerciante Ambulante|Путешествующий Торговец|||여행 상인||Marchand ambulant
broker_npc_title|Broker|Meklari|Corretor|Брокер|Broker|ブローカ|브로커|Makler|Courtier
landlord_npc_title_1|Mayor of Inoya|Inoyan Pormestari|Prefeito de Inoya|Мэр города Иноя|镇镇长|タウン市長|타운 시장|Stadt Bürgermeister|Maire d'Inoya
landlord_npc_title_2|Clan Leader|Klaanin Johtaja|Líder do Clã|Лидер Клана|氏族首领|クランリーダー|클랜 리더|Clan-Führer|Chef de clan
landlord_npc_title_3|Village Elder|Kylänvanhin|Ancião da Aldeia|Деревенский Старейшина|村长|村の長老|마을 장로|Dorfälteste|Aîné du village
landlord_npc_title_4|Dwarven Council|Kääpiöiden Valtuutettu|Conselho dos Anões|Совет гномов|矮人议会|ドワーフの協議会|드워프위원회|Zwergen-Rat|Conseil des nains
landlord_npc_title_5|Warlord|Sotapäällikkö|Chefe de Guerra|Военачальник|军阀|将軍|장군|Kriegsherren|Seigneur de guerre
landlord_npc_title_6|Arch Bishop|Arkkipiispa|Arcebispo|Архиепископ|拱主教|アークビショップ|아치 주교|Erzbischof|Archevêque
yogvan_npc_title|Dwarven Miner|Kääpiöiden Kaivosmies|Anão Mineiro|Гном - Шахтер|矮人矿工|ドワーフの鉱山労働者|드워프 광부|Zwergenbergmann|Mineur nain
edward_npc_title|Hunter|Metsästäjä|Caçador|Охотник|猎人|猟師|사냥꾼|Jäger|Chasseur
kirill_npc_title|Princess|Prinsessa|Princesa|Принцесса|公主|王女|공주님|Prinzessin|Princesse
mario_npc_title|Construction Worker|Rakennustyöläinen|Operário|Рабочий - строитель|建筑工人|建設作業員|건설 노동자|Bauarbeiter|Ouvrier du bâtiment
bard_npc_name|Bard|Bardi|Bardo|Бард|诗人|詩人|음유 시인|Barde|Barde
christmas_letter_npc_name|Christmas Letter|Joulukirje|Carta de Natal|Рождественское письмо|圣诞信|クリスマスの手紙|크리스마스 편지|Weihnachtsbrief|Lettre de Noël
snowman_npc_name|Snowman|Lumiukko|Boneco de Neve|Снеговик|雪人|雪だるま|눈사람|Schneemann|Bonhomme de neige
snowman_headless_npc_name|Headless Snowman|Päätön Lumiukko|Boneco sem Cabeça|Снеговик без головы|无头雪人|ヘッドレス雪だるま|헤드리스 눈사람|Kopflos Schneemann|Bonhomme de neige sans tête
pumpkin_npc_name|Pumpkin|Kurpitsa|Abóbora|Тыква|南瓜|かぼちゃ|호박|Kürbis|Citrouille
skeleton_npc_name|Skeleton|Luuranko|Esqueleto|Скелет|骨架|スケルトン|해골|Skelett|Squelette
witch_npc_name|Witch|Noita|Bruxa|Ведьма|巫婆|魔女|마녀|Hexe|Sorcière
jack_the_ripper_npc_name|Jack the Ripper|Viiltäjä-Jack|Jack o Estripador|Джек Потрошитель|开膛手杰克|切り裂きジャック|잭 더 리퍼|Jack the Ripper|Jack l'éventreur
corrupted_odin|Corrupted Odin|Korruptoitunut Odin|Odin Corrompido|Испорченный Один|腐败的奥丁|壊れたオーディン|타락한 오딘|Verdorbener Odin|Odin corrompu
bounty_board|Bounty Board|Ilmoitustaulu|Quadro de Recompensas|Доска Вознаграждений|Bounty Board|Bounty Board|현상금 게시판|Bounty Board|Tableau des primes
bounty_board_hunt|Daily Hunt|Päivän jahti|Caçada Diária|Ежедневная Охота|||일일 사냥||Chasse quotidienne
bounty_board_quest|View Daily Quest|Päivän tehtävä|Quest Diária|Ежедневный Квест|||일일 퀘스트 보기||Quête quotidienne
kleiton_npc_title|Jewelcrafter||Joalheiro|Мастер по Изготовлению ювелирных Изделий|||보석 세공사||Joaillier
prospector_npc|Prospectron RX9000||Prospectron RX9000|Проспект RX9000|||Prospectron RX9000||Prospectron RX9000
|||||||||
thank_you|Thank you.|Kiitos.|Obrigado.|Спасибо.|||감사합니다.||Je vous remercie.
here_to_help|I'm here to help.|Olen täällä auttamassa.|Estou aqui para ajudar.|Я здесь, чтобы помочь.|我是来帮忙的。|私がお手伝いします。|제가 도와 드리겠습니다.|Ich bin hier um zu helfen.|Je suis là pour vous aider.
goodbye|Goodbye!|Näkemiin!|Adeus!|Прощай!|再见！|さようなら！|잘 있어!|Auf Wiedersehen!|Au revoir !
yes_please|Yes please!|Kyllä kiitos!|Sim, por favor!|Да, пожалуйста!|好的！|はい、お願いします！|응, 부탁해!|Ja bitte!|Oui, s'il vous plaît !
no_thanks|No thanks.|Ei kiitos.|Não, obrigado.|Нет, спасибо.|不，谢了。|いいえ、結構です。|괜찮아.|Nein, danke.|Non, merci.
dialog_next|Next|Seuraava|Próximo|Далее|下一个|次|다음|Nächster|Suivant
reset_relics|Reset all relics.|Poista kaikki aarteet.|Resetar todas as relíquias.|Сбросьте все реликвии.|重置所有遗物。|すべての遺物をリセットします。|모든 유물 초기화.|Alle Relikte zurücksetzen.|Réinitialiser toutes les reliques.
buy|Buy|Osta|Comprar|Купить|购买|購入する|구매|Kaufen|Acheter
buy_items|Buy Items|Osta esineitä.|Comprar Itens|Покупайте Предметы|购买商品|アイテムを購入|아이템 구매|Items kaufen|Acheter des objets
sell_items|Buy/Sell|Osta/Myy|Comprar/Vender|Покупка /Продажа|卖掉物品。|アイテムを売ります。|아이템 팔기.|Artikel verkaufen.|Voir la boutique
reset_wormhole_level|Reset wormhole level.|Palauta madonreiän taso.|Resetar o nível do buraco de minhoca|Сбросить уровень червоточины.|重置虫洞等级。|ワームホールレベルをリセットします。|웜홀 레벨 초기화.|Wurmloch-Level zurücksetzen.|Réinitialiser le niveau du vortex.
|||||||||
kukkonen|My name is landlord Kukkonen. I am the mayor of Inoya. Hope you have a pleasant stay, noble hero!|Minä olen maanomistaja Kukkonen, Inoyan pormestari. Toivottavasti viihdyt kylässämme!|Meu nome é senhorio Kukkonen. Sou o prefeito de Inoya. Espero que você tenha uma estadia agradável, nobre herói!|Меня зовут домовладелец Кукконен. Я мэр Иноя. Желаю вам приятного пребывания, благородный герой!|我是土地领主库博志。 我是这个小镇的镇长。 希望你能喜欢这里， 尊敬的英雄。|私はこの土地の領主クッコネンと申します。 この町の市長でもあります。 気持ちの良い滞在時間を過ごすよう、 心から願います！ 気高いヒーローよ！|나는 쿡코넨이라고 한다. 이 마을의 이장이지. 편안하게 지내시게!|Ich bin der Grundherr Kukkonen und Bürgermeister dieser Stadt. Hoffentlich haben Sie einen angenehmen Aufenthalt edler Held!|Je m'appelle [c_lime]Monsieur Kukkonen[c_reset]. Je suis le maire de la [c_aqua]Ville d'Inoya[c_reset]. J'espère que vous passerez un bon séjour, noble héros !
asgar|I am Asgar, the commander of Danethorpe. We are here to watch your back, hero!|Minä olen Asgar, Danethorpen komentaja. Pidämme sinusta hyvää huolta sankari!|Eu sou Asgar, o comandante de Danethorpe. Estamos aqui para protegê-lo, herói!|Я Асгар, командир Данторпа. Мы здесь, чтобы прикрыть твою спину, герой!|我是邓恩斯洛普的指挥官阿斯加。 我们是你的坚强后盾，英雄！|我が名はアスガル、デーンソープの指揮官。 英雄よ、 あなたの背中を護るためにここに来た！|나는 데인소프의 사령관인 아스가르다. 후방에서 그대를 지원하겠다!|Ich bin Asgar, der Befehlshaber von Danethorpe. Wir sind hier, um dir den Rücken freizuhalten, Held!|Je suis [c_lime]Asgar[c_reset], le commandant de [c_aqua]Danethorpe[c_reset]. Nous sommes là pour veiller sur vous, héros !
afsin|Welcome! I am Afsin, the eldest warrior of Mos'Arathim. We are in need of your strength!|Tervehdys! Minä olen Afsin, Mos'Arathimin vanhin soturi. Tarvitsemme kipeästi voimiasi!|Saudações! Eu sou Afsin, o guerreiro mais velho de Mos’Arathim. Estamos precisando de sua força!|Добро пожаловать! Я Афсин, старейший воин Мос'Арати. Мы нуждаемся в вашей силе!|致敬！ 我是阿弗斯恩，摩斯奥拉斯姆最年长的战士。 我们需要你的力量！|やあ！ 私はアフシン、 モスアラシム最年長の戦士。 あなたの力が必要だ！|안녕하십니까! 저는 모스아라팀의 가장 오래된 전사인 아프신입니다. 당신의 힘이 필요합니다!|Grüße! Ich bin Afsin, der älteste Krieger von Mos‘Arathim. Wir benötigen deine Stärke!|Bienvenue à tous ! Je suis [c_lime]Afsin[c_reset], l'aîné des guerriers du [c_aqua]Village de Mos'Arathim[c_reset]. Nous avons besoin de votre force !
kodatin|Greetings stranger! Welcome to Dhorn Farum! You may call me Kodatin.|Tervehdys muukalainen! Tervetuloa Dhorn Farumiin! Voit kutsua minua Kodatiniksi.|Saudações estranho! Bem-vindo a Dhorn Farum! Você pode me chamar de Kodatin.|Приветствую тебя, незнакомец! Добро пожаловать в Дхорн Фарум! Можешь называть меня Кодатин.|问候陌生人!欢迎来到Dhorn Farum!你可以叫我柯达。|こんにちは！ようこそ、ドーン･ファルムへ！ コダティンと呼んでください。|안녕하세요, 이방인! 돈 파룸에 오신 것을 환영합니다! 난 코데이틴이라고 불러요.|Willkommen, Fremder! Willkommen in Dhorn Farum! Du kannst mich Kodatin nennen.|Bonjour, étranger ! Bienvenue à [c_aqua]Dhorn Farum[c_reset] ! Vous pouvez m'appeler [c_lime]Kodatin[c_reset].
