[quest]|en|fi|pt|ru|zh|ja|ko|de|fr
|||||||||
[TUTORIAL]|||||||||
quest_name_1|Skills and Stats||Habilidades e Atributos||||스킬 및 스탯||
quest_description_1|Assign a Skill Point, Attribute Points and Bind an Active Skill.||Atribua um ponto de habilidade, pontos de atributo e vincule uma habilidade ativa.||||스킬 포인트, 속성 포인트를 할당하고 활성 스킬을 바인딩하십시오.||
quest_objective_1_1|Open Stat & Skill tree||Abrir Atributos & Árvore de Habilidades||||스탯 및 스킬 트리 열기||
quest_objective_1_2|Assign an Attribute Point||Atribua um Ponto de Atributo||||속성 포인트 할당||
quest_objective_1_3|Assign a Skill Point||Atribua um Ponto de Habilidade||||스킬 포인트 할당||
quest_objective_1_4|Bind a Skill into a Skill Button||Vincule uma Habilidade a um Botão de Habilidade||||스킬 버튼에 스킬 할당||
|||||||||
quest_name_2|Keys and Chests||Chaves e Baús||||열쇠와 상자||
quest_description_2|Pick up the key, open your Inventory by pressing ”C” and navigate to your key ring. Then proceed towards north to open the Golden Chest by the well.||"Pegue a chave, abra o Inventário pressionando ""C"" e navegue até o chaveiro. Em seguida, siga em direção ao norte para abrir o Baú Dourado ao lado do poço."||||열쇠를 집어 들고 'C' 키를 눌러 인벤토리를 열고 열쇠 고리로 이동하세요. 그런 다음 우물 옆에 있는 황금 상자를 열기 위해 북쪽으로 이동하세요.||
quest_objective_2_1|Pick up the Key||Pegue a chave||||열쇠를 집어 들어||
quest_objective_2_2|Open Key Ring in the Inventory||Abra o chaveiro no inventário||||인벤토리에서 열쇠고리 열기||
quest_objective_2_3|Open Chest by the well in north||Baú aberto ao lado do poço no norte||||북쪽 우물 옆에 있는 상자 열기||
|||||||||
quest_name_3|Autofilling the belt||Enchimento automático do cinto||||벨트 자동 채우기||
quest_description_3|Pick up the belt and open your inventory, navigate to the potion tab and enable autofill potions. This will fill a new potion into your belt when one is used!||Pegue o cinto e abra seu inventário, navegue até a guia de poção e ative o preenchimento automático de poções. Isso colocará uma nova poção em seu cinto quando uma for usada!||||벨트를 줍고 인벤토리를 열어 포션 탭으로 이동한 다음 자동 채우기 포션을 활성화하세요. 포션을 사용하면 새로운 포션이 벨트에 채워집니다!||
quest_objective_3_1|Pickup Belt||Cinto Pegado||||벨트 획득||
quest_objective_3_2|Enable Auto Fill in Inventory||Ativar o preenchimento automático no inventário||||인벤토리 자동 채우기 활성화||
|||||||||
quest_name_4|Bunny Hopping||Pulos de Coelho||||바니 점프||
quest_description_4|Land on these indicators! Its easy! Just press ”Space” and your character will land on your cursors location!||"Pouse nesses indicadores! É fácil! Basta pressionar ""Espaço"" e seu personagem aterrissará no local do cursor!"||||이 표시기에 착륙하세요! 간단해요! '스페이스' 키를 누르면 캐릭터가 커서 위치에 착륙할 거예요!||
quest_objective_4_1|Jumps performed||Saltos realizados||||점프 횟수||
|||||||||
quest_name_5|Rotten and moldy firewood||Lenha podre e mofada||||||
quest_description_5|Make firewood out of that beast! The corrupted ent is located north east.||Faça lenha dessa fera! O ent corrompido está localizado a nordeste.||||그 짐승을 장작으로 만들어라! 부패한 엔트는 북동쪽에 위치해 있다.||
quest_objective_5_1|Scorchwood Slain||Madeira Chamuscada morto||||불타는 나무 처치||
|||||||||
quest_name_18|Learn to mine|Louhitaan|Aprenda a minerar|Учитесь добывать|学习挖矿|鉱山を学ぶ|광산 배우기|Lerne meine|On rentre du boulot
quest_description_18|Mine copper ore on normal difficulty.|Louhi kuparimalmia normaalilla vaikeusasteella.|Minere minério de cobre na dificuldade normal.|Добывайте медную руду на обычной сложности.|铜矿开采难度一般。|銅鉱石を通常の難易度で鉱山します。|정상적인 난이도에서 광산 구리 광석.|Minen Sie Kupfererz auf normalem Schwierigkeitsgrad.|Extraire du minerai de cuivre en difficulté normale.
quest_objective_18_1|Copper Ore|Kuparimalmia|Minério de Cobre|Медная руда|铜矿|銅鉱石|구리 광석|Kupfererz|Minerai de cuivre
|||||||||
