Unnamed: 0|en|[fi]|pt|ru|zh|ja|ko|de|fr
|||||||||
subVikingCharge01|Power Charge||||||파워 차지||
subVikingCharge02|Hyperfocus||||||초집중||
subVikingCharge03|Bodyslam||||||바디슬램||
subVikingCharge04|Resilience||||||탄력성||
subVikingCharge05|Overconfidence||||||||
subVikingCharge06|Spirit Breaker||||||정령 파괴자||
subVikingCharge07|Violent Momentum||||||폭력의 기세||
subVikingCharge08|Berserking Ram||||||광전사의 양||
subVikingCharge09|Crushing Impact||||||분쇄 충격||
subVikingCharge10|Frenzied Mind ||||||광란의 정신||
subVikingCharge11|Forceful Grab||||||강제 잡기||
subVikingCharge12|Crashquake||||||크래시퀘이크||
subVikingCharge13|Whirling Charge||||||회전 돌진||
subVikingCharge14|Mountain Fall||||||산의 추락||
subDescVikingCharge01|Increases the damage dealt by charge.||||||돌진으로 가하는 피해가 증가합니다.||
subDescVikingCharge02|Increases the duration of charge.||||||충전 지속 시간을 증가시킵니다.||
subDescVikingCharge03|Increases damage dealt to stunned targets.||||||기절한 대상에게 가하는 피해가 증가합니다.||
subDescVikingCharge04|Take reduced damage while charging and shortly after.||||||충전 중 및 충전 직후에 받는 피해가 감소합니다.||
subDescVikingCharge05|Increases the area of effect radius of charge.||||||충전의 효과 범위를 증가시킵니다.||
subDescVikingCharge06|Inflicts arcane break on hit.||||||적중 시 비전 파괴를 가합니다.||
subDescVikingCharge07|Increases the impact damage dealt by charge for each second spent charging.||||||충전하는 매 초마다 충전으로 인한 충격 피해가 증가합니다.||
subDescVikingCharge08|Increases the speed of your charge.||||||돌진 속도를 증가시킵니다.||
subDescVikingCharge09|Chance to critically hit with increased critical strike damage.||||||치명타 피해가 증가한 치명타 적중 확률.||
subDescVikingCharge10|Stack a buff increasing your arcane skill damage when hitting monsters with charge.||||||몬스터를 돌진으로 타격할 때 비전 스킬 피해를 증가시키는 버프를 쌓으세요.||
subDescVikingCharge11|Grab monsters on your path dealing damage and stunning them when you crash into terrain.||||||경로에 있는 몬스터를 붙잡아 지형에 충돌할 때 피해를 주고 기절시킵니다.||
subDescVikingCharge12|Unleash powerful shockwaves when crashing into monsters or terrain.||||||몬스터나 지형에 충돌할 때 강력한 충격파를 방출하세요.||
subDescVikingCharge13|Charge forward in a straight line unleashing a massive whirlwind around you.||||||거대한 회오리를 일으키며 일직선으로 돌진하세요.||
subDescVikingCharge14|The mountain breaks and huge boulders fall down on monsters around you when crashing into monsters or terrain.||||||산이 무너지고 거대한 바위들이 주위의 몬스터들에게 떨어집니다. 몬스터나 지형에 충돌할 때 발생합니다.||
|||||||||
subVikingOdinsFury01|Crippling Shout ||||||무력화 외침||
subVikingOdinsFury02|Howling Cry ||||||울부짖는 외침||
subVikingOdinsFury03|Mind Tactics||||||마인드 전술||
subVikingOdinsFury04|Flaming Fury||||||불타는 분노||
subVikingOdinsFury05|Echoing Roar||||||메아리치는 포효||
subVikingOdinsFury06|Tormenting Shout||||||고통의 외침||
subVikingOdinsFury07|Emotional Damage||||||감정적 손상||
subVikingOdinsFury08|Echo of Duality||||||이중성의 메아리||
subVikingOdinsFury09|Shout of the Hunt||||||사냥의 외침||
subVikingOdinsFury10|Dominating Howl||||||지배하는 울음소리||
subVikingOdinsFury11|Warcry||||||전투의 외침||
subVikingOdinsFury12|Pulsing Echo||||||맥동하는 메아리||
subVikingOdinsFury13|Trembling Roar||||||전율의 포효||
subVikingOdinsFury14|Roaring Carnage||||||포효하는 대학살||
subDescVikingOdinsFury01|Increases the damage dealt by odin´s fury.||||||오딘의 분노로 인한 피해량이 증가합니다.||
subDescVikingOdinsFury02|Increases the stun duration of odin's fury.||||||오딘의 분노의 기절 지속 시간을 증가시킵니다.||
subDescVikingOdinsFury03|Decreases the mana cost of odin´s fury.||||||오딘의 분노 마나 소모량 감소||
subDescVikingOdinsFury04|Inflicts burning on hit.||||||적중 시 화상 상태를 입힙니다.||
subDescVikingOdinsFury05|Increases the area of effect radius of odin´s fury.||||||오딘의 분노 효과 범위가 증가합니다.||
subDescVikingOdinsFury06|Increases the damage of odin's fury based on your maximum life.||||||최대 생명력에 따라 오딘의 분노 피해가 증가합니다.||
subDescVikingOdinsFury07|Inflicts bleeding on hit.||||||적중 시 출혈을 일으킵니다.||
subDescVikingOdinsFury08|Chance on cast to unleash an additional shout.||||||주문 시 추가 외침을 발동할 확률이 있습니다.||
subDescVikingOdinsFury09|Increases your movement speed for a short period of time after using odin's fury.||||||오딘의 분노를 사용한 후 일정 시간 동안 이동 속도가 증가합니다.||
subDescVikingOdinsFury10|Inflicts arcane break on hit.||||||적중 시 비전 파괴를 가합니다.||
subDescVikingOdinsFury11|Odin’s fury now knocks back monsters and if they hit a wall or an object they take extra damage, get stunned and are pulled back to the player.||||||오딘의 분노는 이제 몬스터들을 밀어내며, 벽이나 물체에 부딪히면 추가 피해를 입고 기절하며 플레이어에게 다시 끌려옵니다.||
subDescVikingOdinsFury12|Now performs an echoing shout pulsating multiple times dealing increased damage with each pulse.||||||이제 여러 번 맥동하는 메아리치는 외침을 수행하여 각 맥동마다 증가된 피해를 입힙니다.||
subDescVikingOdinsFury13|Gain a buff dealing extra damage to burning and bleeding monsters.||||||불타고 출혈 상태인 몬스터에게 추가 피해를 주는 버프를 얻습니다.||
subDescVikingOdinsFury14|Knock up monsters causing them to take damage when they land.||||||몬스터를 공중에 띄워 착지할 때 피해를 입게 합니다.||
|||||||||
subVikingSeismicSlam01|Colossal Smash||||||거대한 강타||
subVikingSeismicSlam02|Seismic Energy||||||지진 에너지||
subVikingSeismicSlam03|Lethal Crush||||||치명적인 분쇄||
subVikingSeismicSlam04|Cheap Slam||||||저렴한 슬램||
subVikingSeismicSlam05|Seismic Aftershock||||||지진 여파||
subVikingSeismicSlam06|Power Slam||||||파워 슬램||
subVikingSeismicSlam07|Earth Root||||||||
subVikingSeismicSlam08|Slamming Flurry||||||맹렬한 돌진||
subVikingSeismicSlam09|Defiling Carcass||||||더럽혀진 시체||
subVikingSeismicSlam10|Shattered Earth||||||파괴된 지구||
subVikingSeismicSlam11|Polar Shift||||||극지 이동||
subVikingSeismicSlam12|Echoing Slam||||||메아리치는 강타||
subVikingSeismicSlam13|Seismic Crack||||||지진 균열||
subVikingSeismicSlam14|Younger Dryas||||||어린 드라이아스||
