Unnamed: 0|en|fi|pt|ru|zh|ja|ko|de|fr
talent_name_basicMovement|Movement|Liike|Movimento|Движение|移动|移動|이동|Bewegung|Se déplacer
talent_desc_basicMovement|Move around without attacking.|Liiku ympäriinsä hyökkäämättä.|Movimentar-se sem atacar.|Двигайтесь, не атакуя.|移动但不攻击。|攻撃せずに動き回ります。|공격하지 않고 이동합니다.|Bewegen Sie sich, ohne anzugreifen.|Se déplacer sans attaquer.
talent_name_basicAttack|Attack|Hyökkäys|Atacar|Атака|攻击|攻撃|공격|Angriff|Attaque
talent_desc_basicAttack|Basic Attack|Perushyökkäys |Ataque Básico|Базовая атака|基本攻击 |基本攻撃 |기본 공격 |Grundangriff |Attaque de base
|||||||||
talent_name_weaponMaster|Weapon Master|Asemestari|Mestre das Armas|Мастер оружия|武器大师|武器マスター|무기 마스터|Waffenmeister|Maître d'armes
talent_name_charge|Charge|Lataa|Carga|Заряжать|冲锋|突撃|돌격|Angriff|Charge
talent_name_devastatingCharge|Devastating Charge|Tuhoisa lataus|Carga Devastadora|Разрушительный заряд|毁灭冲锋|破壊的な突撃|파괴적인 돌격|Verheerender Angriff|Charge dévastatrice
talent_name_shieldMaster|Shield Master|Kilven mestari|Mestre de Escudo|Мастер Щита|盾牌大师|シールドマスター|방패 마스터|Schildmeister|Maître du bouclier
talent_name_stoneskin|Stoneskin|Kivennahka|Pele de Pedra|Каменная кожа|石肤|ストーンスキン|스톤스킨|Steinhaut|Peau de pierre
talent_name_norseResistance|Norse Resistance|Norjan vastarinta|Resistência Nórdica|Скандинавское сопротивление|北欧抵抗|北欧の抵抗|노르드 저항|Nordischer Widerstand|Résistance nordique
talent_name_defensiveShout|Defensive Shout|Puolustava huuto|Grito Defensivo|Защитный крик|防御呐喊|防御の叫び|방어의 함성|Verteidigungsschrei|Cri défensif
talent_name_odinsFury|Odin's Fury|Odinin raivo|Fúria de Odin|Ярость Одина|奥丁之怒|オーディンの激怒|오딘의 분노|Odins Wut|Fureur d'Odin
talent_name_battleAgility|Battle Agility|Battle Agility|Agilidade de Batalha|Боевая ловкость|战斗敏捷|戦闘の敏捷性|전투 민첩성|Kampfgewandtheit|Agilité au combat
talent_name_combatOrders|Combat Orders|Taistelumääräykset|Ordens de Batalha|Боевые приказы|战斗命令|戦闘命令|전투 명령|Kampfbefehle|Ordre de combat
talent_name_seismicSlam|Seismic Slam|Seisminen slam|Batida Sísmica|Сейсмический удар|地震猛击|地震のスラム|지진 강타|Seismischer Schlag|Frappe sismique
talent_name_bruteForce|Brute Force|Raaka voima|Força Bruta|Грубая сила|蛮力|力ずくの力|무차별 공격|Brutale Gewalt|Force brute
talent_name_zeal|Zeal|Innokkuus|Zelo|Рвение|热情|熱意|열정|Eifer|Zèle
talent_name_monsterThrow|Throw!|Heittää!|Lançar!|Бросать!|投掷！|投げろ！|던지기!|Werfen!|Lancer !
talent_name_ymirsChampion|Ymir's Champion|Ymirin mestari|Campeão de Ymir|Чемпион Имира|尤弥尔的冠军|ユミルのチャンピオン|이미르의 챔피언|Ymirs Champion|Champion d'Ymir
talent_name_whirlwind|Whirlwind|Myrskytuuli|Redemoinho|Вихрь|旋风|旋風|회오리바람|Wirbelwind|Tourbillon
